Review,Date Posted
"Dangerous Driving driver pulled right front secondary road, I main road. Ran footpath opposite side. It quite reckless him. Had done, I could gotten that, we're human make mistakes. However, made rude hand gesture me, totally inexcusable. I emailed experience , however responded. I escalating complaint Garda luckily I footage entire event. It's alarming ireann investigate driver complaints. Left unchecked, much bigger problems deal result willful negligence.",2022-10-21
On monaghan dublin November On monaghan dublin November 18 2023. A pleasant journey. The driver professional courtious - great customer care skills. Thanks.,2023-11-18
Today Galway Limerick Today Galway Limerick . Lovely driver disgusting I ever seen. Filthy. It stank. Visable spill residue everywhere. Rubbish ground. Surfaces sticky. A health hazzard. Just disgusting. The greed company shows.,2023-08-29
"303 always Sick buses I get everyday work back, I way city centre today limerick I went put leap card I put wrong card driver decided could pick card say Im allowed I did? I made simply mistake I explained I card bag I intend put card I put meter. He kept saying get Im allowed stupid mistake, also I got standing outside standing I like hi u nd stayed standing 30 seconds getting back hes job. This 1/8/23 Tuesday 7:15pm 303 pineview gardens",2023-08-01
Huge numbers waiting 245 Huge numbers waiting 245 Cork. The driver left 20 people missing home 7.00pm. Shocking management company cannot work need regular service capacity. This regularly happens.,2022-10-30
"fcuked transport company inthe fcuked transport company whole world! planned departure Shannon 17:35, man comes says leave maybe 6 p.m. talks phone arranges something, fcuking joke! one cares plane flight , instead dog logo snail stuck",2023-10-06
False information digital signs False information digital signs stops. A system took millions Euros taxpayer money present false information. Do rely woeful service. Does deserve 1 star. Consistently bad service.,2022-10-28
"oldsame old . drivers pass stops , rude act like theyre biggest favour world driving route theyre getting paid lol. The buttons dont work give u u wanna get could easily check mirrors camera see people getting maybe STOP INCASE ??? also woman driver 32 service slow boarding speaks loud embarrasses customers shes giving out. charged adult fare showed student id previous day told could find student return next day apparently couldnt machine . also lets talk price services expressway NOT expensive lets b",2022-09-08
"101 absolute nightmare 101 absolute nightmare, SIX buses passed none stopped Tuesday. Was waiting hours happening much. There man stop going see house family he's looking house nine months go cause late, come others stop he's still homeless shelter family. Not even morning get people TO WORK reliable anymore. Absolute joke they're fixing anything. They're literally playing people's lives. Oh, I also nearly missed flight them.",2022-10-04
"Very bad Very bad, driver Is rude. Most especially ennis limerick one way I know go shannon waste time direct bud ennis limerick, plus Internet bad good sometimes work",2022-10-12
Crap service Lately use dad ill hospital tralee.you see vast majority drivers given up.positivity ridiculous low.there time tables line disaster.having used trains buses europe.i say service brutal.constantly late zombie drivers sad.all money spent new buses crap service.people put crap plus tax payer paying it.sadly ireland go on.youd better hitching.plus never answer phone looking information tralee.,2023-08-29
