Review,Date
Good service When breakdown arranged taxi customer reaches destination without delay.,2024-01-01
Coach cold first hours Coach cold first hours cold morning . I think need break least half way journey . Your toilets big inside get us little bigger doors narrow. I ended bad tummy cos I go loo wee . I wait till I got stop . I coach 10 hr run loo station .,2023-12-31
Disgusting Disgusting! Women driver rude snatched phone look tickets. Then I told I hadnt reserved seat I number 42 43 receipt. I asked I sit told I would stand till seat became available son. I disabled. I eventually found sit son sit next two men drinking alcohol one lay floor fell asleep. Manchester Cardiff never again!!!!,2023-12-29
"Everything went wrong Everything went wrong, coach To Cardiff university meant 4:45am 27th December 2023, arrive Cardiff university 2:05pm day. The first problem started Birmingham I change another coach bring Cardiff university, coach arrived 10:50am didnt leave almost 2:pm, due bad wipper needed change. Then got Bristol driver said shift couldnt drive us anymore, made us understand driver meant change nowhere found, mind 5:15pm. He proceeded counting left coach told us order taxi final destination. This went another one hour thirty minutes standing cold raining day. I finally arrived final destination 8:pm apologies form refund making lose work shift night. Its worst experience I ever history traveling coach.",2023-12-27
"Great Travel Great Travel, We always leave time drivers always informative polite. It's always pleasure use .",2023-12-28
Booked for12.25 pm Heathrow Central Booked for12.25 pm Heathrow Central station Cardiff arrive. I book National Express 3.30 pm. There information update come.,2023-12-27
"Good Experience On time, helpful nice staff. Got I needed good price. Seats got uncomfortable expected. The toilet small clean, toilet paper though.",2024-01-01
The journey pleasant The journey pleasant experience. The time driver helpful. The clean warm. I looking forward rebooking point.,2023-12-30
The big issue coach The big issue coach Bristol London Bristol London felt bit compact didnt much leg room service nice.,2023-12-26
I travelled national express I travelled national express aswell vus much better den natiinal express comfortable enough space sides seat better den NE always travel wid,2023-12-29
"Trip London Very good service drivers helpful, lost something , help staff station sort out.. good indeed.",2023-12-29
"Due issue Due issue , wait replacement. This took lot longer expected. Other that, great journey.",2023-12-28
COACH BREAKDOWNDUE TO COACH BREAKING DOWN IN LEEDS STATION THE 13:30 FROM CARDIFF TO SUNDERLAND DUE TO ARRIVE IN SUNDERLAND AT 22:30 FINALLY ARRIVED AT 00:45 ( 2 HOURS AND FIFTEEN MINUTES LATE),2023-12-29
Perfect Aberdeen Glasgow Perfect Aberdeen Glasgow downhill there. driver rood un caring un comfortable Never again.,2023-12-30
"want money backi want money back, stood around hour waiting , 9oclock night traffic, absolutely disgraceful service",2023-12-28
"The arrived one hour late The arrived one hour late. And I change Coventry wait another hour plan. A total failure, unprofessional service. I wish I could give zero stars choice.",2023-12-29
"I faced issue mobile phone I faced issue mobile phone charging,my Phone battery dead. So proper switch I charge Phone",2023-12-28
I lost goods I never I lost goods I never got buck I emailed company time I never got email back goods got lost .,2023-10-11
"Excellent value. ran time, comfortable good value. We feel, however, driver drove close car front. There barely one chevron vehicles.",2023-12-30
